code_RGI;betweennes;pop
290001;0.188312;4064880
290002;0.0;507494
290003;0.006970;295278
290004;0.010055;288664
290005;0.003772;257665
290006;0.000270;184245
290007;0.118566;650652
290008;0.0;458167
290009;0.005528;387910
290010;0.001150;132940
290011;0.083940;815516
290012;0.002870;344134
290013;0.062376;228008
290014;0.058794;218247
290015;0.010164;153712
290016;0.000946;480683
290017;0.004492;233847
290018;0.068928;515348
290019;0.0;138306
290020;0.006283;409863
290021;0.007532;222932
290022;0.0;521703
290023;0.004233;299084
290024;0.0;197492
290025;0.028882;205704
290026;0.0;189690
290027;0.028882;129375
290028;0.0;97955
290029;0.347080;1241854
290030;0.000631;325532
290031;0.005847;223359
290032;0.002872;196507
290033;0.006029;191400
290034;0.007551;177138
