date,290001_PHC,290002_PHC,290003_PHC,290004_PHC,290005_PHC,290006_PHC,290007_PHC,290008_PHC,290009_PHC,290010_PHC,290011_PHC,290012_PHC,290013_PHC,290014_PHC,290015_PHC,290016_PHC,290017_PHC,290018_PHC,290019_PHC,290020_PHC,290021_PHC,290022_PHC,290023_PHC,290024_PHC,290025_PHC,290026_PHC,290027_PHC,290028_PHC,290029_PHC,290030_PHC,290031_PHC,290032_PHC,290033_PHC,290034_PHC,Mobility
1,147.0,35.0,16.0,8.0,80.0,19.0,119.0,168.0,139.0,77.0,171.0,67.0,82.0,26.0,24.0,34.0,38.0,41.0,21.0,33.0,10.0,72.0,32.0,53.0,3.0,1.0,16.0,21.0,91.0,60.0,35.0,13.0,8.0,19.0,1
2,175.0,76.0,87.0,13.0,113.0,40.0,240.0,288.0,183.0,105.0,263.0,108.0,112.0,59.0,53.0,119.0,99.0,97.0,47.0,129.0,15.0,115.0,57.0,80.0,16.0,0.0,36.0,27.0,126.0,138.0,68.0,32.0,30.0,87.0,1
3,181.0,156.0,90.0,20.0,110.0,27.0,259.0,253.0,206.0,113.0,269.0,142.0,137.0,71.0,62.0,149.0,130.0,145.0,38.0,233.0,55.0,107.0,66.0,98.0,43.0,11.0,52.0,30.0,145.0,120.0,108.0,40.0,31.0,112.0,1
4,162.0,122.0,89.0,13.0,116.0,41.0,212.0,315.0,199.0,92.0,315.0,108.0,123.0,63.0,54.0,156.0,84.0,119.0,46.0,219.0,51.0,117.0,44.0,87.0,25.0,7.0,64.0,57.0,169.0,86.0,114.0,35.0,69.0,127.0,1
5,144.0,93.0,86.0,32.0,140.0,31.0,183.0,305.0,207.0,99.0,346.0,135.0,131.0,76.0,47.0,142.0,105.0,168.0,20.0,190.0,60.0,98.0,65.0,86.0,49.0,14.0,39.0,55.0,220.0,110.0,90.0,36.0,50.0,113.0,1
6,193.0,101.0,119.0,19.0,127.0,24.0,231.0,321.0,182.0,108.0,407.0,183.0,134.0,129.0,46.0,130.0,60.0,182.0,33.0,236.0,68.0,94.0,97.0,126.0,39.0,10.0,48.0,46.0,179.0,152.0,99.0,47.0,60.0,133.0,1
7,151.0,128.0,126.0,46.0,154.0,26.0,192.0,323.0,196.0,84.0,376.0,158.0,136.0,128.0,33.0,205.0,80.0,225.0,38.0,293.0,70.0,89.0,106.0,158.0,40.0,16.0,56.0,73.0,240.0,151.0,87.0,51.0,56.0,164.0,1
8,188.0,125.0,138.0,40.0,99.0,21.0,191.0,315.0,160.0,161.0,392.0,141.0,150.0,133.0,34.0,222.0,106.0,296.0,90.0,328.0,50.0,108.0,69.0,158.0,49.0,25.0,61.0,65.0,204.0,125.0,81.0,50.0,54.0,168.0,1
9,99.0,35.0,48.0,13.0,56.0,24.0,69.0,154.0,90.0,50.0,123.0,35.0,71.0,35.0,13.0,111.0,30.0,188.0,27.0,112.0,33.0,55.0,41.0,25.0,7.0,4.0,5.0,28.0,71.0,55.0,36.0,5.0,7.0,56.0,1
10,178.0,133.0,149.0,74.0,228.0,93.0,252.0,526.0,232.0,133.0,565.0,204.0,211.0,113.0,41.0,358.0,130.0,528.0,169.0,452.0,147.0,156.0,136.0,171.0,33.0,19.0,37.0,93.0,202.0,168.0,121.0,49.0,71.0,206.0,1
11,265.0,156.0,192.0,61.0,178.0,70.0,314.0,539.0,242.0,144.0,618.0,228.0,229.0,137.0,63.0,456.0,128.0,563.0,183.0,506.0,186.0,274.0,147.0,186.0,60.0,32.0,61.0,79.0,261.0,192.0,176.0,58.0,88.0,225.0,1
12,304.0,157.0,206.0,82.0,226.0,73.0,296.0,601.0,244.0,219.0,653.0,204.0,255.0,156.0,50.0,445.0,244.0,493.0,174.0,439.0,187.0,239.0,154.0,177.0,36.0,25.0,61.0,106.0,233.0,248.0,151.0,63.0,101.0,208.0,1
13,235.0,169.0,171.0,45.0,241.0,93.0,291.0,550.0,183.0,138.0,579.0,152.0,207.0,127.0,57.0,410.0,148.0,497.0,168.0,337.0,105.0,236.0,182.0,154.0,57.0,20.0,68.0,110.0,236.0,172.0,177.0,65.0,56.0,169.0,1
14,244.0,126.0,180.0,83.0,170.0,107.0,299.0,577.0,194.0,170.0,578.0,235.0,165.0,117.0,43.0,478.0,208.0,550.0,222.0,410.0,232.0,329.0,166.0,157.0,42.0,31.0,71.0,129.0,247.0,206.0,145.0,59.0,80.0,242.0,1
15,230.0,102.0,187.0,66.0,159.0,118.0,248.0,535.0,191.0,126.0,563.0,164.0,182.0,110.0,29.0,409.0,194.0,435.0,184.0,428.0,174.0,234.0,124.0,113.0,48.0,31.0,36.0,73.0,247.0,163.0,151.0,28.0,59.0,204.0,1
16,311.0,187.0,182.0,111.0,194.0,167.0,316.0,624.0,172.0,141.0,707.0,238.0,288.0,216.0,84.0,557.0,229.0,518.0,275.0,571.0,278.0,263.0,211.0,129.0,50.0,72.0,75.0,122.0,337.0,212.0,181.0,38.0,73.0,333.0,1
17,390.0,175.0,200.0,116.0,183.0,126.0,289.0,714.0,192.0,150.0,730.0,293.0,339.0,156.0,65.0,551.0,276.0,480.0,257.0,682.0,231.0,332.0,217.0,212.0,79.0,91.0,96.0,111.0,391.0,275.0,299.0,31.0,70.0,313.0,1
18,290.0,145.0,207.0,95.0,132.0,110.0,293.0,531.0,260.0,155.0,627.0,191.0,308.0,152.0,70.0,482.0,235.0,326.0,225.0,591.0,215.0,335.0,274.0,198.0,30.0,81.0,103.0,111.0,354.0,242.0,225.0,60.0,109.0,250.0,1
19,369.0,282.0,328.0,137.0,219.0,99.0,395.0,641.0,300.0,155.0,915.0,367.0,316.0,233.0,85.0,618.0,219.0,462.0,263.0,686.0,215.0,608.0,328.0,280.0,71.0,81.0,125.0,190.0,534.0,359.0,274.0,86.0,131.0,352.0,1
20,381.0,257.0,266.0,133.0,215.0,106.0,452.0,696.0,413.0,174.0,1026.0,290.0,438.0,215.0,126.0,683.0,310.0,472.0,252.0,874.0,235.0,601.0,423.0,354.0,84.0,127.0,153.0,175.0,652.0,451.0,260.0,112.0,159.0,396.0,1
21,417.0,247.0,200.0,138.0,175.0,125.0,429.0,718.0,256.0,243.0,859.0,290.0,367.0,241.0,131.0,587.0,231.0,520.0,217.0,873.0,280.0,509.0,340.0,315.0,106.0,143.0,149.0,167.0,554.0,447.0,215.0,79.0,195.0,459.0,1
22,383.0,301.0,193.0,124.0,152.0,110.0,413.0,602.0,277.0,265.0,899.0,339.0,436.0,225.0,128.0,497.0,215.0,488.0,207.0,893.0,208.0,436.0,306.0,327.0,79.0,225.0,155.0,175.0,616.0,432.0,183.0,69.0,143.0,384.0,1
23,423.0,382.0,266.0,187.0,188.0,121.0,461.0,655.0,344.0,236.0,896.0,396.0,477.0,226.0,91.0,557.0,225.0,489.0,227.0,939.0,193.0,665.0,368.0,371.0,124.0,194.0,194.0,183.0,703.0,554.0,278.0,104.0,134.0,366.0,1
24,251.0,187.0,138.0,73.0,149.0,117.0,427.0,393.0,267.0,158.0,602.0,271.0,419.0,159.0,50.0,461.0,159.0,386.0,208.0,590.0,171.0,494.0,181.0,242.0,65.0,134.0,156.0,112.0,530.0,340.0,214.0,44.0,102.0,372.0,1
25,231.0,213.0,156.0,72.0,167.0,75.0,403.0,506.0,264.0,150.0,591.0,256.0,486.0,104.0,34.0,456.0,220.0,439.0,302.0,588.0,191.0,458.0,216.0,236.0,72.0,105.0,157.0,149.0,480.0,310.0,233.0,36.0,78.0,326.0,1
26,318.0,183.0,193.0,93.0,117.0,67.0,352.0,377.0,230.0,108.0,466.0,294.0,378.0,101.0,55.0,453.0,230.0,419.0,215.0,232.0,201.0,446.0,187.0,349.0,72.0,58.0,156.0,80.0,410.0,295.0,314.0,33.0,77.0,388.0,1
27,445.0,237.0,316.0,112.0,152.0,112.0,475.0,542.0,298.0,204.0,806.0,388.0,493.0,318.0,87.0,608.0,190.0,460.0,204.0,776.0,212.0,394.0,267.0,412.0,76.0,156.0,107.0,136.0,647.0,368.0,269.0,73.0,70.0,427.0,1
28,391.0,279.0,330.0,167.0,182.0,125.0,394.0,614.0,314.0,114.0,1015.0,337.0,559.0,281.0,79.0,599.0,261.0,422.0,199.0,860.0,234.0,492.0,358.0,340.0,106.0,146.0,191.0,174.0,742.0,338.0,302.0,119.0,123.0,336.0,1
29,468.0,251.0,323.0,163.0,240.0,179.0,493.0,662.0,294.0,196.0,1270.0,467.0,657.0,232.0,90.0,743.0,277.0,469.0,224.0,980.0,241.0,486.0,329.0,442.0,138.0,230.0,243.0,235.0,734.0,325.0,349.0,82.0,151.0,422.0,1
30,433.0,312.0,340.0,128.0,199.0,130.0,481.0,470.0,299.0,227.0,1314.0,471.0,771.0,204.0,96.0,597.0,332.0,293.0,225.0,1006.0,281.0,535.0,359.0,349.0,96.0,177.0,165.0,166.0,617.0,319.0,298.0,72.0,136.0,360.0,1
31,408.0,231.0,361.0,167.0,246.0,127.0,544.0,520.0,290.0,197.0,1189.0,483.0,641.0,216.0,76.0,745.0,304.0,398.0,231.0,901.0,227.0,582.0,323.0,396.0,153.0,208.0,168.0,248.0,797.0,269.0,316.0,113.0,136.0,434.0,1
32,474.0,261.0,417.0,170.0,212.0,164.0,533.0,597.0,345.0,193.0,1267.0,427.0,654.0,291.0,101.0,845.0,276.0,438.0,250.0,924.0,260.0,628.0,359.0,361.0,187.0,228.0,231.0,229.0,803.0,367.0,280.0,119.0,136.0,408.0,1
33,580.0,252.0,497.0,174.0,216.0,173.0,557.0,722.0,325.0,231.0,1122.0,462.0,733.0,293.0,98.0,776.0,249.0,566.0,280.0,1096.0,236.0,596.0,362.0,360.0,176.0,242.0,207.0,276.0,782.0,437.0,279.0,124.0,143.0,449.0,1
34,446.0,360.0,384.0,168.0,205.0,122.0,762.0,680.0,435.0,243.0,1182.0,391.0,779.0,281.0,123.0,926.0,383.0,527.0,244.0,946.0,245.0,652.0,367.0,276.0,188.0,219.0,175.0,261.0,732.0,418.0,231.0,98.0,159.0,435.0,1
35,492.0,294.0,361.0,147.0,230.0,145.0,493.0,675.0,375.0,207.0,1159.0,408.0,615.0,198.0,105.0,723.0,298.0,454.0,261.0,958.0,238.0,616.0,411.0,352.0,141.0,222.0,195.0,256.0,735.0,373.0,172.0,117.0,133.0,461.0,1
36,346.0,209.0,241.0,109.0,122.0,108.0,419.0,550.0,269.0,149.0,925.0,273.0,450.0,224.0,73.0,554.0,227.0,396.0,157.0,645.0,172.0,451.0,278.0,286.0,53.0,100.0,132.0,108.0,520.0,387.0,113.0,73.0,69.0,289.0,1
37,463.0,274.0,341.0,152.0,164.0,158.0,617.0,920.0,383.0,185.0,1217.0,366.0,582.0,256.0,119.0,708.0,289.0,409.0,258.0,984.0,154.0,614.0,389.0,399.0,185.0,183.0,140.0,154.0,639.0,503.0,206.0,78.0,113.0,424.0,1
